query,rank,score,chunk_id,entry_id,attachment_id,page_start,page_end,title,administration,agencies_affected,subject_matter,source_path,matched_attachment_ids,matched_doc_ids,matched_chunk_ids,matched_count,best_rank,snippet
temporary protected status,1,0.801646,1849_pdf_6845_p0007-p0008_hb0e1ad3fdb8b118a,1849,6845,7,8,DHS terminates Temporary Protected Status for Honduras,,"[""U.S. Citizenship and Immigration Services""]","[""TPS""]",data/sample_100/policies/1849__dhs-terminates-temporary-protected-status-for-honduras/documents/subsequent-action__6845__nan__8c39d66c05.pdf,"[""6845"", ""6672"", ""8128"", ""6658"", ""6673""]","[""6845"", ""1849"", ""6672"", ""8128"", ""6658"", ""6673""]","[""1849_pdf_6845_p0007-p0008_hb0e1ad3fdb8b118a"", ""1849_ttl_h4b0edc92befab941"", ""1849_pdf_6672_p0043-p0044_h52007acd986b62cb"", ""1849_pdf_8128_p0004-p0004_he4bb08bdddc98263"", ""1849_pdf_6672_p0044-p0045_h6cb8c18f2a1ca6b6"", ""1849_pdf_6845_p0036-p0037_h03721e0d85d9d348"", ""1849_pdf_6672_p0016-p0016_h92f402fc8112a721"", ""1849_pdf_8128_p0046-p0047_h9acb0bf94f86366e"", ""1849_pdf_6658_p0001-p0001_h25f99c5b30e135ad"", ""1849_pdf_6672_p0044-p0044_he7c9fa61127f9bb6"", ""1849_pdf_6672_p0022-p0023_h0c3094b8efee93c7"", ""1849_pdf_6673_p0001-p0001_h64c21689c9c167f1"", ""1849_pdf_8128_p0045-p0045_h42f6a2e62e6a555a"", ""1849_pdf_6672_p0009-p0009_hb8d6809c778c6074"", ""1849_pdf_6672_p0009-p0010_h6f6ca7861a42ac86"", ""1849_pdf_6845_p0008-p0009_h983d0e8e1d1a9c4e"", ""1849_pdf_6672_p0019-p0019_h813c3453e16df1dd"", ""1849_pdf_8128_p0023-p0024_h989951e2c0eeb232"", ""1849_pdf_6672_p0020-p0021_h9b71351c31c7e2dc"", ""1849_pdf_6845_p0035-p0036_hb07c67e55f5a6d7f"", ""1849_pdf_6672_p0027-p0028_hdec607a5238d974f"", ""1849_pdf_6672_p0024-p0025_h40ab745ab315ce6b"", ""1849_pdf_8128_p0045-p0045_h514795cfb0584ca0""]",23,1,"A. The TPS Statute Temporary Protected Status (“TPS”) was created by the Immigration Act of 1990 (“Immigration Act”), Pub. L. No. 101-649, 104 Stat. 4978, and provides blanket relief to nationals of countries based on specific country conditions findings. 8 U.S.C. § 1254a. Pursuant to 8 U.S.C. § 1254a, the Secretary of Homeland Security may designate a country for TPS if she finds that: (A) … there is an ongoing armed conflict within the state and, due to Case 3:25-cv-05687-TLT Document 73 Filed 07/31/25 Page 7 of 37 8 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 United States District Court Northern District of California such conflict, requiring the return of aliens who are nationals of that state to that state (or to the part of the state) would pose a serious threat to their personal safety; (B) … (i) there has been an earthquake, flood, drought, epidemic, or other environmental disaster in the state resulting in a substantial, but temporary, disrupti…"
temporary protected status,2,0.765362,2181_pdf_8337_p0009-p0009_hf3fc1901c9f1c467,2181,8337,9,9,HUD orders immediate citizenship-verification for tenants in HUD-funded housing,,"[""Unspecified/Other""]","[""Interior""]",data/sample_100/policies/2181__hud-orders-immediate-citizenship-verification-for-all-tenants-in-hud-funded-hous/documents/new-policy__8337__nan__7f861f58e7.pdf,"[""8337""]","[""8337""]","[""2181_pdf_8337_p0009-p0009_hf3fc1901c9f1c467"", ""2181_pdf_8337_p0007-p0007_h61856443262bc820"", ""2181_pdf_8337_p0002-p0003_h8dec1ec08186956b"", ""2181_pdf_8337_p0007-p0009_he7b62112b27c03d6""]",4,4,9 SAVE Response Section 214 Eligibility Status  Application Pending – Temporary Employment Authorization;  Application Pending – Not Temporary Employment Authorization;  Deferred Action Status (DAS);  Deferred Action Status (DAS) – Not Employment Authorized;  Deferred Enforced Departure (DED); and  No Status;  No Status – Released on an Order of Supervision – Temporary Employment Authorized;  No Status – Employment Authorized Indefinitely; and  No Status Temporary Employment Authorized.  Immigration Enumerator Required – Resubmit with Additional Information;  Institute Additional Verification;  Institute Third Level Verification;  No Record Found with SSA – Resubmit with Additional Information;  Temporary Employment Authorized;  Resubmit Doc;  Verification in Process;  Continue to Process;  Unable to Process;  Null;  Expired Document;  Document Appears to be Altered; and  Document Appears to be Counterfeit. More information is required to classify the individual’…
temporary protected status,3,0.751035,1455_pdf_5420_p0011-p0012_h8965ad613f18e4fb,1455,5420,11,12,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes",,"[""Customs and Border Protection"", ""U.S. Citizenship and Immigration Services"", ""Unspecified/Other""]","[""Unspecified/Other""]",data/sample_100/policies/1455__eo-securing-our-borders-7b-directs-termination-of-categorical-parole-programs-in/documents/subsequent-action__5420__nan__db4fde94c8.pdf,"[""5420"", ""8308""]","[""5420"", ""8308""]","[""1455_pdf_5420_p0011-p0012_h8965ad613f18e4fb"", ""1455_pdf_8308_p0001-p0001_hfb6ed0aac9372c18"", ""1455_pdf_8308_p0005-p0005_hfaf251fc9a0cd546"", ""1455_pdf_5420_p0059-p0059_h06c345a57075f8f8""]",4,7,"Parole is a temporary form of permission for a noncitizen to be in the United States. Parole does not itself lead to any other form of immigration status, although while here on parole, nothing prevents parolees from applying for any other immigration status for which they are eligible. Many parole recipients have applied for asylum pursuant to 8 U.S.C. § 1158, temporary protected status pursuant to 8 U.S.C. § 1254a, or other forms of status adjustments. Under longstanding regulations, many parolees can apply for employment authorization. 33. Section 212(d)(5)(A) of the Immigration and Nationality Act (“INA”), 8 U.S.C. § 1182(d)(5)(A), states that “the Attorney General may, except as provided in subparagraph (B) or in section 1184(f) of this title, in his discretion parole into the United States temporarily under such conditions as he may prescribe only on a case-by-case basis for urgent humanitarian reasons or significant public benefit any alien applying for admission to the United …"
temporary protected status,4,0.745752,1878_pdf_6744_p0005-p0005_h3da5764409afe345,1878,6744,5,5,DOL issues guidance requiring work-authorization verification for Employment and Training Administration (ETA) grant programs,,"[""Unspecified/Other""]","[""Employment Verification""]",data/sample_100/policies/1878__dol-issues-guidance/documents/new-policy__6744__nan__e94e8c43eb.pdf,"[""6744""]","[""6744""]","[""1878_pdf_6744_p0005-p0005_h3da5764409afe345""]",1,9,"For individuals whose work authorization is temporary, grantees must verify their continued work authorization at a reasonable interval determined by when their temporary authorization is expected to expire, but no less than once every three months. If, at any time, a grantee becomes aware that a participant’s employment authorization has expired or been revoked outside that 3-month check, then the grantee should exit the participant. Grantees who are registered to use SAVE can use the SAVE system for this continuous verification procedure. Grantees that cannot access SAVE should review documents listed as acceptable on the I-9 as described above. The above requirements reference verifying work authorization prior to delivering participant-level services. In the WIOA title I Adult and Dislocated Worker programs, to become a participant, an individual must meet all applicable program requirements to receive services aside from self-service or information-only services or activities. A …"
temporary protected status,5,0.740018,1690_pdf_5950_p0009-p0009_hdcbdebc9acb3e8f6,1690,5950,9,9,DOL proposes new collection form for employers seeking to employ H-2B nonimmigrant workers,,"[""Unspecified/Other""]","[""Unspecified/Other""]",data/sample_100/policies/1690__dol-proposes-new-collection-form-for-employers-seeking-to-employ-h-2b-nonimmigra/documents/new-policy__5950__nan__b79f387820.pdf,"[""5950"", ""5951""]","[""5950"", ""5951""]","[""1690_pdf_5950_p0009-p0009_hdcbdebc9acb3e8f6"", ""1690_pdf_5951_p0001-p0001_h8d93b87894edf920"", ""1690_pdf_5950_p0005-p0005_h1d3e1a77d564d28b""]",3,15,"The TLC process focuses on establishing whether a petitioner has a temporary need for workers and whether there are U.S. workers who are able, willing, qualified, and available to perform the temporary service or labor. It does not address the harm a petitioner is facing or will face if it is unable to receive the H-2B workers for which it has been certified, which is a requirement to access supplemental H-2B visas. The petitioner must submit an attestation to USCIS in which the petitioner affirms, under penalty of perjury, that it meets the business need standard—that they are suffering irreparable harm or will suffer impending irreparable harm (that is, permanent and severe financial loss) without the ability to employ all of the H-2B workers requested on their petition. In addition to asserting that it meets the business need standard, the employer must attest that, by the time of submission of the petition to USCIS, they have prepared and retained a detailed written statement desc…"
asylum policy,1,0.756550,1417_pdf_4894_p0020-p0021_ha143efdd1334e75d,1417,4894,20,21,"EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols",,"[""Unspecified/Other"", ""Unspecified/Other"", ""Unspecified/Other""]","[""Border"", ""Asylum, Withholding and CAT""]",data/sample_100/policies/1417__eo-securing-our-borders-6-directs-dhs-dos-and-doj-to-resume-migrant-protection-p/documents/prior-policy__4894__nan__4ba9c1d5c8.pdf,"[""4894"", ""5968""]","[""4894"", ""5968""]","[""1417_pdf_4894_p0020-p0021_ha143efdd1334e75d"", ""1417_pdf_4894_p0001-p0002_hcb8fb57d9625447f"", ""1417_pdf_5968_p0006-p0006_hc1a393b3ebbb09fb"", ""1417_pdf_4894_p0035-p0035_hdce90fe72aa32f19"", ""1417_pdf_4894_p0034-p0034_h3529681eb0fd3789"", ""1417_pdf_4894_p0035-p0036_h03c5349c6618e8ab"", ""1417_pdf_4894_p0031-p0031_hd23991a1b88d9322"", ""1417_pdf_4894_p0002-p0003_h81ae610f480a55a5""]",8,1,"During this period, a policy was implemented that barred asylum for individuals who transited through third countries and decisions were issued that limited humanitarian protection claims based on family membership and gender; these likely depressed grant rates. See Asylum Eligibility and Procedural Modifications, 84 Fed. Reg. 33,829 (July 16, 2019); Matter of L-E-A-, 27 I&N Dec. 581 (A.G. 2019), vacated, 28 I&N Dec. 304 (A.G. 2021); Matter of A-B-, 27 I&N Dec. 316 (A.G. 2018), vacated, 28 I&N Dec. 307 (A.G. 2021). Additionally, the period of time being analyzed is both brief and recent. OIS analysis indicates that relief-granted rates tend to increase over the first three to four years after a case resulting from a credible or reasonable fear claim is initiated in immigration court. None of this, however, explains the substantial discrepancy in outcomes between MPP case and comparable non-MPP cases over the same time period. And none of this diminishes the statutory obligation to fai…"
asylum policy,2,0.754387,983_pdf_2264_p0001-p0001_h1c8dfae127f20691,983,2264,1,1,EOIR and USCIS issue communicable-disease security bars to asylum and withholding eligibility,,"[""Customs and Border Protection"", ""U.S. Citizenship and Immigration Services"", ""Unspecified/Other"", ""Executive Office for Immigration Review""]","[""Asylum, Withholding and CAT""]",data/sample_100/policies/983__dhs-and-doj-propose-adding-public-health-grounds-to-asylum-and-withholding-of-re/documents/prior-policy__2264__8-cfr-20813__e8db92957f.pdf,"[""2264"", ""2265"", ""3567"", ""2266"", ""3161""]","[""2264"", ""983"", ""2265"", ""3567"", ""2266"", ""3161""]","[""983_pdf_2264_p0001-p0001_h1c8dfae127f20691"", ""983_pdf_2264_p0001-p0001_h40917677ab0a0f22"", ""983_ttl_h7384c7e58998a0f8"", ""983_pdf_2265_p0001-p0001_h26f4310cebe825ac"", ""983_pdf_2265_p0001-p0001_h9edea2c86b06adc7"", ""983_pdf_3567_p0001-p0001_h477ae081621af0be"", ""983_pdf_2266_p0001-p0001_h3aff00c561e669d2"", ""983_pdf_3161_p0001-p0001_h25f507e2a70088a9""]",8,3,"Except as provided in paragraph (b)(1)(iii) of this section, an asylum officer shall, in the exercise of his or her discretion, refer or deny, or an immigration judge, in the exercise of his or her discretion, shall deny the asylum application of an alien found to be a refugee on the basis of past persecution if any of the following is found by a preponderance of the evidence: (A) There has been a fundamental change in circumstances such that the applicant no longer has a well-founded fear of persecution in the applicant’s country of nationality or, if stateless, in the applicant’s country of last habitual residence, on account of race, religion, nationality, membership in a particular social group, or political opinion; or (B) The applicant could avoid future persecution by relocating to another part of the applicant’s country of nationality or, if stateless, another part of the applicant’s country of last habitual residence, and under all the circumstances, it would be reasonable to…"
asylum policy,3,0.752960,93_pdf_250_p0007-p0007_h8be5d0a815b98a10,93,250,7,7,Asylum seekers given less time to prepare for credible fear interviews,,"[""U.S. Citizenship and Immigration Services""]","[""Asylum, Withholding and CAT""]",data/sample_100/policies/93__asylum-seekers-given-less-time-to-prepare-for-credible-fear-interviews/documents/subsequent-action__250__lmm-v-cuccinelli-decison__fb7bab7bb1.pdf,"[""250"", ""248"", ""249""]","[""250"", ""248"", ""249"", ""93""]","[""93_pdf_250_p0007-p0007_h8be5d0a815b98a10"", ""93_pdf_248_p0003-p0004_h275a402299a402bc"", ""93_pdf_248_p0001-p0002_hcdb8ac5617f980af"", ""93_pdf_249_p0001-p0002_h693eaf912f098890"", ""93_sum_ha9f4b8e8eba62b0d"", ""93_pdf_250_p0004-p0005_h831d8ed78f87525a""]",6,5,USCIS Acting Director Ken Cuccinelli reportedly released a policy change internally reducing the time asylum officers have to wait after an immigrant is detained before conducting a credible fear interview from 48 hours to 1 calendar day. [ID #93]
asylum policy,4,0.748771,1948_pdf_7053_p0002-p0003_hca57f679a83e79b8,1948,7053,2,3,"AG Bondi issues Matter of S-S-F-M-, restricting asylum claims based on domestic violence",,"[""Immigration and Customs Enforcement"", ""U.S. Citizenship and Immigration Services"", ""Attorney General"", ""Executive Office for Immigration Review""]","[""Asylum, Withholding and CAT"", ""Unspecified/Other""]",data/sample_100/policies/1948__ag-bondi-issues-matter-of-s-s-f-m/documents/prior-policy__7053__nan__982ba2bdea.pdf,"[""7053"", ""7041""]","[""7053"", ""7041"", ""1948""]","[""1948_pdf_7053_p0002-p0003_hca57f679a83e79b8"", ""1948_pdf_7041_p0001-p0002_h2ff92ecd7e463c62"", ""1948_ttl_ha209c94cfa0936b8"", ""1948_pdf_7053_p0001-p0002_h7819959d33645b18"", ""1948_pdf_7053_p0003-p0003_hd7e26d655aa77b34""]",5,8,"906, 906 (BIA 1999, A.G. 2001).2 I have concluded that the same approach is warranted here, and I vacate A-B- I and A-B- II to leave open the questions that those opinions sought to resolve and to ensure that the Departments have appropriate flexibility in the forthcoming rulemaking. A-B- I attempted to set forth a comprehensive statement of the requirements that must be met to establish that an applicant has suffered persecution on account of membership in a particular social group—the very questions that the recent Executive Order directs the Department of Justice and the Department of Homeland Security to address in the rulemaking. Portions of the discussion in A-B- I were framed as a restatement and application of existing Board precedent. But the opinion begins with a broad statement that “victims of private criminal activity” will not qualify for asylum except perhaps in “exceptional circumstances.” 2 Of course, agencies also have discretion to “announc[e] new principles in an a…"
asylum policy,5,0.742962,1450_pdf_5339_p0008-p0009_h7b028272954a8c8a,1450,5339,8,9,State Department orders resettlement agencies to stop funded work supporting refugees currently in the U.S.,,"[""Unspecified/Other""]","[""Refugees"", ""Unspecified/Other""]",data/sample_100/policies/1450__report-tump-memo-bars-resettlement-agencies-from-providing-services-to-refugees-/documents/subsequent-action__5339__nan__5a9a3a150e.pdf,"[""5339"", ""5425""]","[""5339"", ""5425""]","[""1450_pdf_5339_p0008-p0009_h7b028272954a8c8a"", ""1450_pdf_5425_p0025-p0025_hd3e3667369a46ec9"", ""1450_pdf_5425_p0003-p0004_h22acffefefbddd98"", ""1450_pdf_5339_p0008-p0008_hbbd90758ba84eaaf"", ""1450_pdf_5425_p0002-p0003_h20f1c06d26f70a8f"", ""1450_pdf_5425_p0009-p0010_hf9a12cc217bfedaf""]",6,13,"law, and consistent with U.S. treaty obligations, a “refugee” is a person fleeing his or her country because of persecution or a well-founded fear of persecution on account of race, religion, nationality, membership in a particular social group, or political opinion. See 8 U.S.C. § 1101(a)(42). Case 2:25-cv-00255-JNW Document 56 Filed 03/05/25 Page 8 of 49 FIRST SUPPL. COMPL. FOR DECLARATORY & INJUNCTIVE RELIEF – 9 (No. 2:25-cv-255-JNW) Perkins Coie LLP 1201 Third Avenue, Suite 4900 Seattle, Washington 98101-3099 Phone: +1.206.359.8000 Fax: +1.206.359.9000 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 The U.S. Refugee Admissions Program 37. The USRAP embodies and effectuates the United States’ commitment to offering a safe haven for people around the world fleeing persecution. 38. Individuals outside of the United States seeking admission as refugees are processed through the USRAP, which is managed by the State Department in cooperation with the DHS and DHHS. 3…"
