relevance,reason,query,rank,title
0,ORR placement and detention procedures are unrelated to TPS designation criteria,TPS designation criteria policy,2,ORR requires Director-level authorization of custodial releases of certain unaccompanied children
2,Directly discusses extensions and terminations of TPS designations for Venezuelans and Haitians,TPS designation criteria policy,3,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes"
0,HHS grant designation rules are unrelated to TPS designation criteria,TPS designation criteria policy,4,HHS issues notice excluding undocumented immigrants from additional federal benefits
0,EOIR accreditation procedures are unrelated to TPS designation criteria,TPS designation criteria policy,5,"EOIR proposes revisions to Form EOIR-31A, Request for Accreditation of Non-Attorney Representative"
3,Directly discusses visa application fee exemptions and waiver eligibility after travel ban rescission,immigration fee waiver eligibility policy,1,"POTUS issues Presidential Proclamation 9983, adding six new countries to Travel Ban"
2,Directly explains reduced fee eligibility criteria and exemptions for immigration petitions,immigration fee waiver eligibility policy,2,USCIS allows processing of H-2A petitions for unnamed beneficiaries prior to labor certification approval
3,Directly discusses fee waivers and fee-exempt employment authorization requests,immigration fee waiver eligibility policy,3,"USCIS proposes changes to Form G-325A, Biographic Information (for Deferred Action)"
2,Substantively discusses reopening immigrant visa cases without requiring additional processing fees,immigration fee waiver eligibility policy,4,"POTUS issues Presidential Proclamation, removing Chad from Travel Ban"
1,Mentions filing fees and fee waiver requests only incidentally within broader parole termination guidance,immigration fee waiver eligibility policy,5,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes"
3,Directly addresses adjustment of status eligibility standards for Liberian nationals under the NDAA,adjustment of status eligibility rules,1,EOIR issues guidance on adjustment of status eligibility for certain Liberians under the NDAA
2,Substantively discusses discretionary factors and admissibility requirements in adjustment adjudications,adjustment of status eligibility rules,2,USCIS updates policy on applying discretion in adjudications
0,Asylum eligibility and communicable disease bars are unrelated to adjustment of status eligibility rules,adjustment of status eligibility rules,3,EOIR and USCIS issue communicable-disease security bars to asylum and withholding eligibility
3,Directly discusses admissibility and public charge standards affecting adjustment of status eligibility,adjustment of status eligibility rules,4,USCIS issues final rule on public charge inadmissibility grounds
0,HHS benefit eligibility litigation is unrelated to adjustment of status eligibility standards,adjustment of status eligibility rules,5,HHS issues notice excluding undocumented immigrants from additional federal benefits
2,Directly concerns reopening visa processing and reducing immigrant visa backlogs after travel bans,immigrant visa backlog policy updates,1,"POTUS issues Presidential Proclamation, removing Chad from Travel Ban"
2,Substantively addresses clearing immigrant visa backlogs and reconsidering denied applications,immigrant visa backlog policy updates,2,"POTUS issues Presidential Proclamation 9983, adding six new countries to Travel Ban"
2,Directly discusses resumption of immigrant visa processing and backlog adjudication planning,immigrant visa backlog policy updates,3,"POTUS issues EO 13780, extending travel ban and instructing agencies to enhance screening of certain foreign nationals"
1,Touches immigrant visa eligibility adjudication generally but not backlog processing specifically,immigrant visa backlog policy updates,4,USCIS updates policy on applying discretion in adjudications
1,Special immigrant visa biodata revisions are only tangentially related to immigrant visa backlog policy,immigrant visa backlog policy updates,5,"DOS proposes revisions to Form DS-234, Special Immigrant Visa Biodata"
0,Diversity Visa Lottery fee changes are unrelated to H-1B lottery selection rules,changes to H1B lottery selection process rule,1,DOS implements $1 fee for Diversity Visa Lottery
1,Mentions USCIS use of a lottery system for CHNV parole processing but not H-1B selection rules,changes to H1B lottery selection process rule,2,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes"
0,Asylum eligibility bars are unrelated to H-1B lottery selection procedures,changes to H1B lottery selection process rule,3,EOIR and USCIS issue communicable-disease security bars to asylum and withholding eligibility
1,Discusses H-2A petition processing rather than H-1B lottery selection mechanisms,changes to H1B lottery selection process rule,4,USCIS allows processing of H-2A petitions for unnamed beneficiaries prior to labor certification approval
0,Public charge inadmissibility guidance is unrelated to H-1B lottery selection policy,changes to H1B lottery selection process rule,5,USCIS issues final rule on public charge inadmissibility grounds
3,Directly updates USCIS policy guidance governing public charge inadmissibility determinations,USCIS public charge inadmissibility policy guidance updates,1,USCIS issues final rule on public charge inadmissibility grounds
1,Discusses discretionary adjudication guidance generally but not public charge policy specifically,USCIS public charge inadmissibility policy guidance updates,2,USCIS updates policy on applying discretion in adjudications
0,Guidance on derogatory information disclosure is unrelated to public charge inadmissibility policy,USCIS public charge inadmissibility policy guidance updates,3,USCIS issues guidance on derogatory information unknown to the benefit requestor
0,MPP non-refoulement screening procedures are unrelated to public charge inadmissibility guidance,USCIS public charge inadmissibility policy guidance updates,4,"EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols"
1,Mentions Medicaid and CHIP eligibility for children but not public charge inadmissibility standards,USCIS public charge inadmissibility policy guidance updates,5,ORR requires Director-level authorization of custodial releases of certain unaccompanied children
0,DACA healthcare eligibility and premium subsidies are unrelated to immigration premium processing expansion,changes to premium processing eligibility expansion,1,HHS issues final rule making DACA recipients ineligible for ACA health coverage
0,ORR post-release services policy is unrelated to premium processing eligibility expansion,changes to premium processing eligibility expansion,2,ORR requires Director-level authorization of custodial releases of certain unaccompanied children
0,HHS verification requirements for benefits programs are unrelated to premium processing eligibility expansion,changes to premium processing eligibility expansion,3,HHS issues notice excluding undocumented immigrants from additional federal benefits
0,Asylum eligibility regulatory changes are unrelated to premium processing expansion policy,changes to premium processing eligibility expansion,4,EOIR and USCIS issue communicable-disease security bars to asylum and withholding eligibility
0,J-1 visa form revisions are unrelated to premium processing eligibility expansion,changes to premium processing eligibility expansion,5,"DOS proposes revisions to Form DS-2019, Certificate of Eligibility for J-1 Status"
0,Credible fear interview timing is unrelated to consular shutdown and reopening timelines,consular processing shutdown and reopening policy timeline,1,Asylum seekers given less time to prepare for credible fear interviews
1,Discusses consular processing comparisons within parole termination policy but not shutdown timelines directly,consular processing shutdown and reopening policy timeline,2,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes"
2,Directly concerns resumption of refugee processing and restoration of processing operations after suspension,consular processing shutdown and reopening policy timeline,3,State Department orders resettlement agencies to stop funded work supporting refugees currently in the U.S.
0,MPP reopening authority guidance is unrelated to consular processing shutdown timelines,consular processing shutdown and reopening policy timeline,4,"EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols"
1,Touches immigrant visa processing procedures and refunds but not broader shutdown/reopening timelines,consular processing shutdown and reopening policy timeline,5,State Department issues final rule implementing Adoptive Family Relief Act
0,Travel ban screening and vetting policies are unrelated to visa bulletin retrogression explanations,visa bulletin retrogression policy explanation,1,"POTUS issues EO 13780, extending travel ban and instructing agencies to enhance screening of certain foreign nationals"
0,Visa restrictions for foreign officials are unrelated to visa bulletin retrogression policy,visa bulletin retrogression policy explanation,2,"State Department Announces Visa Restrictions for Foreign Officials and Others ""Facilitating Illegal Migration"""
0,Parole termination litigation is unrelated to visa bulletin retrogression explanations,visa bulletin retrogression policy explanation,3,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes"
0,Travel ban implementation and visa issuance guidance are unrelated to visa bulletin retrogression explanations,visa bulletin retrogression policy explanation,4,POTUS issues Presidential Proclamation, removing Chad from Travel Ban
0,B-1 in lieu of H visa policy concerns nonimmigrant classifications rather than visa bulletin retrogression,visa bulletin retrogression policy explanation,5,DOS proposes rule ending "B-1 in lieu of H" policy
0,Deferred action biographic form revisions are unrelated to employment-based green card quotas,changes to employment based green card quotas,1,USCIS proposes changes to Form G-325A, Biographic Information (for Deferred Action)
1,Employment authorization extensions affect some green card applicants but not employment-based quota levels,changes to employment based green card quotas,2,DHS Ends Automatic Extension of Employment Authorization Documents
1,Employment verification and E-Verify litigation relate to employment immigration broadly but not green card quotas,changes to employment based green card quotas,3,DOJ sues Illinois over "Right to Privacy in the Workplace Act" amendments
1,TPS termination may indirectly affect employment-based green card sponsorship but not quota policy,changes to employment based green card quotas,4,DHS terminates Temporary Protected Status for Honduras
2,Directly discusses numerical increases in H-2B visa allocations and employment-based visa availability,changes to employment based green card quotas,5,DOL proposes new collection form for employers seeking to employ H-2B nonimmigrant workers
3,Directly updates USCIS Policy Manual guidance governing discretionary adjustment of status adjudications,USCIS policy manual updates on adjustment of status,1,USCIS updates policy on applying discretion in adjudications
3,Directly incorporates public charge applicability guidance into the USCIS Policy Manual for adjustment applicants,USCIS policy manual updates on adjustment of status,2,USCIS issues final rule on public charge inadmissibility grounds
3,Directly changes adjustment of status medical examination vaccination requirements,USCIS policy manual updates on adjustment of status,3,USCIS waives COVID-19 vaccination requirement for Adjustment of Status applicants
2,Directly updates USCIS policy guidance on disclosure standards during immigration benefit adjudications,USCIS policy manual updates on adjustment of status,4,USCIS issues guidance on derogatory information unknown to the benefit requestor
0,Posthumous citizenship form updates are unrelated to adjustment of status policy manual guidance,USCIS policy manual updates on adjustment of status,5,USCIS provides new edition of Form N-644, Application for Posthumous Citizenship
0,NTA filing and scheduling guidance is unrelated to STEM OPT extension rules,changes to STEM OPT extension rules,1,EOIR issues guidance on Pereira v. Sessions, announcing changes in NTA filings and case scheduling
