query,rank,score,relevance,reason,title,administration,agencies_affected,subject_matter,snippet
temporary protected status,1,4.958145,3,Exact match and directly focused on TPS,DHS terminates Temporary Protected Status for Honduras,,"[""U.S. Citizenship and Immigration Services""]","[""TPS""]",DHS terminates Temporary Protected Status for Honduras
temporary protected status,2,2.83081,1,Only mentions TPS as one example in broader adjustment guidance,EOIR issues guidance on adjustment of status eligibility for certain Liberians under the NDAA,,"[""Unspecified/Other"", ""Executive Office for Immigration Review""]","[""Unspecified/Other""]","§ 761 l(i)(2). Thus, for aliens currently in proceedings who have other applications for status ( e.g. asylum, adjustment of status, cancellation of removal for certain nonpermanent residents, Temporary Protected Status) pending before an immigration judge, those cases should not be placed on a status docket, and immigration judges should proceed with adjudicating those applications unless the alien indicates that he or she no longer wishes to seek such status. For cases pending at the Board involving non-detained aliens currently in proceedings who: (1) have established prima facie eligibility for adjustment of status pursuant to NDAA § § 7611 (b )(1 )­ (3) and (c)(l)-(2); and (2) have submitted an application to DHS for such adjustment of status and provided proof of such submission, the Board will complete the record of appeal, including the receipt of briefs by the parties. The Board should proceed with the disposition of the appeal if the Board's decision will either: (1) termina…"
temporary protected status,3,2.12833,1,Mentions TPS for a plaintiff but main focus is CHNV parole,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes",,"[""Customs and Border Protection"", ""U.S. Citizenship and Immigration Services"", ""Unspecified/Other""]","[""Unspecified/Other""]","They rescued over 22,000 people within the first six months of the war and since then have provided humanitarian assistance to over a half million Ukrainians. Maksym came to the United States through the U4U parole process in April 2023. He and his wife have applied for Temporary Protected Status (“TPS”), and he has also applied for re-parole in September 2024 because his current grant of U4U parole expires in April 2025. Processing these applications has been paused indefinitely due to the February 14 Davidson memo. If that pause remains in effect, Maksym’s parole will expire, he will lose his work authorization and his ability to continue his humanitarian work for Ukrainians, and he will be displaced once again. 16. Plaintiff Maria Doe is a Ukrainian national who currently lives with her husband Maksym in Brooklyn, New York. She and Maksym Doe came to the United States through the U4U parole process with all their possessions packed into two suitcases. Maria was able to apply for U4…"
temporary protected status,4,1.740223,1,TPS appears only as one eligibility category in broader CAM discussion,"EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols",,"[""Unspecified/Other"", ""Unspecified/Other"", ""Unspecified/Other""]","[""Border"", ""Asylum, Withholding and CAT""]","Department of Homeland Security and U.S. Department of State on the Expansion of Access to the Central American Minors Program,” June 15, 2021, https://www.dhs.gov/news/2021/06/15/joint-statement-us-department-homeland-security-and-us-department-state­ expansion. Under the expanded guidance, eligible minors may apply for refugee status if they are sponsored by a parent or legal guardian in the United States who is in one of the categories: lawful permanent residence; temporary protected status; parole; deferred action; deferred enforced departure; withholding of removal; or certain parents or legal guardians who have a pending asylum application or a pending U visa petition filed before May 15, 2021. 135 Exercise of Time-Limited Authority To Increase the Fiscal Year 2021 Numerical Limitation for the H–2B Temporary Nonagricultural Worker Program and Portability Flexibility for H–2B Workers Seeking To Change Employers, 86 Fed. Reg. 28,198 (May 25, 2021). 33 These efforts, all of which h…"
temporary protected status,5,1.234905,1,Lists immigration statuses including temporary ones but not TPS policy itself,HUD orders immediate citizenship-verification for tenants in HUD-funded housing,,"[""Unspecified/Other""]","[""Interior""]","PHAs should consult the guidance and manuals SAVE provides on understanding SAVE verification responses. 3 HUD assistance is defined as rental assistance in the public housing or housing choice voucher programs. 8 SAVE Response Section 214 Eligibility Status Republic of the Marshall Islands, or Palau.  Cuban/Haitian Entrant;  No Status – Granted Withholding of Removal – Employment Authorized Indefinitely;  Violence Against Women Act (VAWA) – Self-Petitioner – Temporary Employment Authorized;  VAWA Self-Petitioner; and  VAWA Self-Petitioner – Not Employment Authorized.  Non-Immigrant  Non-Immigrant – Temporary Employment Authorized;  Non-Immigrant – Temporary Employment Authorized – Indefinite;  Non-Immigrant – Not Employment Authorized;  Non-Immigrant – Employment Authorized CNMI Only;  Student Status Temporary Authorized;  If Principal – Temporary Employment Authorized;  If Principal or Spouse – Temporary Employment Authorized;  Temporary Resident – Temporary Employment…"
asylum policy,1,3.665844,1,Refugee policy is adjacent to asylum but not asylum policy itself,State Department orders resettlement agencies to stop funded work supporting refugees currently in the U.S.,,"[""Unspecified/Other""]","[""Refugees"", ""Unspecified/Other""]","Congress clearly and expressly stated its purpose and policy judgments in passing the Refugee Act: (a) The Congress declares that it is the historic policy of the United States to respond to the urgent needs of persons subject to persecution in their homelands, including, where appropriate, humanitarian assistance for their care and maintenance in asylum areas, efforts to promote opportunities for resettlement or voluntary repatriation, aid for necessary transportation and processing, admission to this country of refugees of special humanitarian concern to the United States, and transitional assistance to refugees in the United States . . . . (b) The objectives of this Act are to provide a permanent and systematic procedure for the admission to this country of refugees of special humanitarian concern to the United States, and to provide comprehensive and uniform provisions for the effective resettlement and absorption of those refugees who are admitted. Pub. L. No. 96-212, § 101(b), 9…"
asylum policy,2,2.983845,2,Directly references asylum-related EOIR guidance though focused on continuances,EOIR Director issues guidance to restrict continuances,,"[""Executive Office for Immigration Review""]","[""Unspecified/Other""]","OOD DM 22-05 Issued: Apr. 18, 2022 Effective: Immediately CANCELLATION OF POLICY MEMORANDA 19-05, 21-06, AND 21-13 PURPOSE: Rescind and cancel Policy Memoranda 19-05, 21-06, and 2113 OWNER: David L. Neal, Director AUTHORITY: 8 C.F.R. § 1003.0(b) CANCELLATION: Policy Memorandum 19-05 Policy Memorandum 21-06 Policy Memorandum 21-13 As EOIR continues to review existing agency policies and practices, the following Policy Memoranda (PM) are rescinded: 1. PM 19-05, Guidance Regarding the Adjudication of Asylum Applications Consistent with INA § 208(d)(5)(A)(iii) 2. PM 21-06, Asylum Processing 3. PM 21-13, Continuances Please contact your supervisor if you have any questions."
asylum policy,3,1.76088,1,Refugee and asylum language appears but main topic is funding pause,"OMB temporarily pauses agency grant, loan, and financial assistance programs",,"[""Unspecified/Other""]",[],"Case 1:25-cv-00605 Document 1 Filed 03/03/25 Page 9 of 28 10 23. Indeed, as Congress stated in its Declaration of Policies and Objectives for title IV of the Immigration and Nationality Act, also known as the Refugee Act of 1980, Pub. L. 96-212, title I, § 101, 94 Stat. 102 (Mar. 17, 1980): a. it is the historic policy of the United States to respond to the urgent needs of persons subject to persecution in their homelands, including, where appropriate, humanitarian assistance for their care and maintenance in asylum areas, efforts to promote opportunities for resettlement or voluntary repatriation, aid for necessary transportation and processing, admission to this country of refugees of special humanitarian concern to the United States, and transitional assistance to refugees in the United States…. b. The objectives of this Act are to provide a permanent and systematic procedure for the admission to this country of refugees of special humanitarian concern to the United States, and to …"
asylum policy,4,1.274886,3,Directly about a rule making asylum screening harder,Asylum seekers given less time to prepare for credible fear interviews,,"[""U.S. Citizenship and Immigration Services""]","[""Asylum, Withholding and CAT""]","REPORTING TO YOU Immigrant Asylum-Seekers May Get Less Time To Prepare Their Cases Under A New Trump Administration Rule Critics say it's just the latest Trump administration attempt to make the process of applying for asylum harder for immigrants. By Hamed Aleaziz Posted on July 9, 2019, at 2:51 p.m. ET Families seeing asylum slip through through the US–Mexico border fence. Megan Jelinger / Sipa USA via AP The Trump administration is attempting to speed up initial screenings of immigrants seeking asylum, a move that advocates say will give immigrants less time to prepare for their interviews or recover from dangerous journeys. Immigrant Asylum-Seekers May Get Less Time To Prepare Asylum ofﬁcers have had to wait at least 48 hours after an immigrant has been detained for crossing into the US to interview them and hear their case. However, under a new directive implemented by US Citizenship and Immigration Services Acting Director Ken Cuccinelli, that window has been reduced to one cale…"
asylum policy,5,0.985792,2,Strongly related because MPP directly affects asylum seekers,"EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols",,"[""Unspecified/Other"", ""Unspecified/Other"", ""Unspecified/Other""]","[""Border"", ""Asylum, Withholding and CAT""]","3d at 99 n.10 (citing a declaration by Kennji Kizuka, Senior Researcher and Policy Analyst at Human Rights First, regarding an earlier version of this list explaining that “‘[a]s of December 15, 2020, Human Rights First has identified 1,314 public reports of murder, torture, rape, kidnapping, and other violent assaults against asylum seekers returned to Mexico under MPP’ and that ‘the security situation in Mexico, including in the state of Tamaulipas has worsened’ with one of Mexico’s ‘most powerful and violent cartels’ reportedly increasing its activities in Tamaulipas and migrants in Matamoros and Nuevo Laredo have been repeatedly targeted’”). 51 UNHCR, Rapid Protection Assessment: MPP Returnees at the Northern Border of Mexico 15, Dec. 2019. The UNHCR assessment, shared confidentially with the United States government, is cited here with the express permission of UNHCR. 52 According to the UNHCR survey, it did not take long for MPP enrollees to experience danger in Mexico. Just ove…"
border wall funding,1,8.653332,3,Exact match on border wall funding,White House FY2020 Budget Proposal includes $8.6 billion in border wall funding,,"[""Customs and Border Protection"", ""Immigration and Customs Enforcement"", ""U.S. Citizenship and Immigration Services"", ""Unspecified/Other""]","[""Border"", ""Interior""]",White House FY2020 Budget Proposal includes $8.6 billion in border wall funding
border wall funding,2,5.076402,2,Budget item clearly includes major wall funding though title emphasizes E-Verify,President Trump proposes cutting funding to E-Verify program,,"[""U.S. Citizenship and Immigration Services""]","[""Employment Verification""]","*********************************** Border Security and Immigration Enforcement Funding by Year: FYs 2014 - 2020 ($ billions) 2014 2015 2016 2017 2018 2019 2020 PB CBP $10.6 $10.9 $11.2 $12.1 $14.0 $15.0 $18.2 ICE $5.3 $6.0 $5.8 $6.4 $7.1 $7.6 $8.8 EOIR $0.3 $0.3 $0.4 $0.4 $0.5 $0.6 $0.7 UAC $0.9 $0.9 $0.9 $1.2 $1.3 $1.3 $1.3 DOD - - - - - - $3.6 Total $17.1 $18.1 $18.3 $20.1 $22.9 $24.5 $32.6 Department of Homeland Security. Overall 2020 funding for U.S. Customs and Border Protection (CBP) ($18.2 billion) and U.S. Immigration and Customs Enforcement (ICE) ($8.8 billion) is 19 percent higher than the FY 2019 level. The Budget proposes sizable investments in a border wall; border security technology and equipment; funding to hire additional CBP and ICE law enforcement officers; and increased capacity to detain and deport illegal aliens. • The Budget requests $5.4 billion in high priority investments in border security technology, infrastructure, and equipment to help CBP prevent, detec…"
border wall funding,3,0.129436,0,OMB funding pause is unrelated to border wall funding,"OMB temporarily pauses agency grant, loan, and financial assistance programs",,"[""Unspecified/Other""]",[],"The potential $3 trillion in financial assistance implicated by the freeze is a “breathtakingly large sum of money to suspend practically overnight.” ECF No. 30, at 24. And “[r]ather than taking a measured approach to identify purportedly wasteful spending, Defendants cut the fuel supply to a vast, complicated, nationwide machine—seemingly without any consideration for the consequences of that decision.” Id. Doing so was not—and could never be—rational, especially when the decision was made without grappling with its catastrophic effects or the logistical nightmare of its implementation.10 See Bus. Roundtable v. Sec. & Exch. Comm’n, 647 F.3d 1144, 1148 (D.C. Cir. 2011) (explaining that an agency’s failure to “apprise itself . . . of the economic consequences” of potential action is “arbitrary and capricious and not in accordance with law” (quoting Chamber of Com. of the U.S. v. Sec. & Exch. Comm’n, 412 F.3d 133, 144 (D.C. 10 Both Defendants and Amicus argue that “[t]emporary funding p…"
border wall funding,4,-2.052633,1,Border policy related but not about wall funding,"EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols",,"[""Unspecified/Other"", ""Unspecified/Other"", ""Unspecified/Other""]","[""Border"", ""Asylum, Withholding and CAT""]","Prior to doing so, however, the Department ensured that these individuals received COVID-19 tests before crossing the border and entering the United States. The Department also worked in close partnership with nongovernmental organizations and local officials in border communities to connect migrants with short-term supports that facilitated their onward movement to final destinations away from the border. 100 The district court faulted the Secretary for not taking into account alleged warnings to members of the BidenHarris transition team by career DHS officials that terminating MPP would cause a spike in border encounters. Texas, 2021 WL 3603341, at *7. The Department is unaware of any such specific conversations, yet is aware of, and has taken into account, similar concerns raised by others. 101 See Texas, 2021 WL 3603341, at *9-10. 102 First Amended Complaint at 2, 38-39, Texas v. Biden, No. 2:21-cv-67 (N.D. Tex. filed June 3, 2021); see also Complaint, West Virginia v. Biden, No.…"
border wall funding,5,-5.123737,0,Refugee funding suspension is unrelated,State Department orders resettlement agencies to stop funded work supporting refugees currently in the U.S.,,"[""Unspecified/Other""]","[""Refugees"", ""Unspecified/Other""]","The “Refugee Funding Suspension” refers to the suspension of federal funding to USRAP nonprofit partners for their work processing refugee applications abroad and providing services to refugees domestically. USRAP nonprofit partners, including Plaintiff resettlement agencies, learned of the Refugee Funding Suspension on January 24, when PRM issued mass “Suspension Notices” directing resettlement agencies to immediately stop work, cancel obligations, and incur no new costs. Dkt. No. 31-3. Plaintiffs allege that, along with these Suspension Notices, the Refugee Funding Suspension also includes a sub silentio suspension, enacted without notice, of contractual reimbursements owed to USRAP partner nonprofits Case 2:25-cv-00255-JNW Document 45 Filed 02/28/25 Page 33 of 62 FINDINGS OF FACT, CONCLUSIONS OF LAW, AND ORDER ISSUING PRELIMINARY INJUNCTION - 34 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 for work already performed under cooperative agreements. See Dkt. No. 15-23 ¶¶…"
refugee resettlement,1,6.76049,3,Directly about administration of initial refugee resettlement grants,President Trump transfers grant-making authority for initial resettlement grants and contracts from DOS to ORR,,"[""Unspecified/Other"", ""Unspecified/Other""]","[""Refugees""]","Presidential Documents 49007 Federal Register / Vol. 90, No. 209 / Friday, October 31, 2025 / Presidential Documents Presidential Determination No. 2025–14 of September 30, 2025 Presidential Determination on Transferring the United States Program of Initial Refugee Resettlement Memorandum for the Secretary of State [and] the Secretary of Health and Human Services By the authority vested in me as President by the Constitution and the laws of the United States of America, including section 412(b)(1) of the Immigration and Nationality Act (8 U.S.C. 1522(b)(1)), it is hereby ordered: Refugee resettlement must be conducted in a manner that serves the national interest, promotes efficient use of taxpayer dollars, protects the integrity of the United States immigration system, and supports refugees in achieving early economic self-sufficiency and assimilation into American society. Centralizing the responsibilities for all domestic resettlement under one executive department or agency (agenc…"
refugee resettlement,2,5.28553,1,About unaccompanied children services rather than refugee resettlement generally,ORR proposes revisions to forms for services provided to unaccompanied children,,"[""Office of Refugee Resettlement""]","[""Minors""]",Services Provided to Unaccompanied Alien Children OMB Information Collection Request 0970 - 0553 Supporting Statement Part A - Justification April 2025 Type of Request: Revision Submitted By: Office of Refugee Resettlement Administration for Children and Families U.S. Department of Health and Human Services 2 Summary The Office of Refugee Resettlement (ORR) Unaccompanied Alien Children (UAC) Bureau has undertaken a reorganization of its information collections with the goal of promoting operational efficiency for the UACB by creating more unique information collections with fewer total forms under each Office of Management and Budget (OMB) number. This will reduce the burden associated with renewing large collections and clarify future requests for modifications and renewals under these narrower purpose-specific collections. This package pertains to the renewal of the Services Provided to Unaccompanied Alien Children information collection (OMB #0970-0553). Under this application for …
refugee resettlement,3,5.089633,3,Directly about freezing funds for refugee resettlement programs,"OMB temporarily pauses agency grant, loan, and financial assistance programs",,"[""Unspecified/Other""]",[],"114. HHS’s unilateral executive action to withhold or freeze funds appropriated by Congress for the refugee resettlement programs thus unconstitutionally infringes on Congress’s spending and appropriations powers. 115. Because HHS has arbitrarily and capriciously refused to provide the refugee resettlement program federal grants—effectively terminating the programs—the County is entitled to the declaratory and injunctive relief sought here. Case 1:25-cv-01058 Document 1 Filed 04/08/25 Page 29 of 33 30 PRAYER FOR RELIEF WHEREFORE, Plaintiff Harris County prays that this Court: 1. Declare that HHS’s sub silentio cancellation of congressional appropriations for the refugee resettlement programs, as applied to the County, is contrary to law under the APA; 2. Declare that HHS’s sub silentio cancellation of congressional appropriations for the refugee resettlement programs , as applied to the County, is arbitrary and capricious under the APA; 3. Declare that HHS’s sub silentio cancellation …"
refugee resettlement,4,4.763195,3,Directly about stopping funded work for refugee resettlement agencies,State Department orders resettlement agencies to stop funded work supporting refugees currently in the U.S.,,"[""Unspecified/Other""]","[""Refugees"", ""Unspecified/Other""]","The Act also denies the Executive Case 1:25-cv-00465 Document 1 Filed 02/18/25 Page 13 of 35 14 Branch any authority to defer spending except for three specified reasons; it forbids deferrals based on policy disagreements with Congress. Id. § 684(b). III. USCCB’s Refugee-Resettlement Program And Cooperative Agreements 37. Each year since the enactment of the Refugee Act of 1980, USCCB has entered into agreements with the federal government to provide initial-resettlement services for refugees. USCCB receives and coordinates the distribution of PRM awards for initial resettlement through its Migration & Refugee Service. USCCB partners with subrecipients, most of whom are local Catholic Charities, across the United States to accomplish this work. These partners are strategically chosen in concert with the State Department and state refugee coordinators to achieve goals such as partnering with subrecipients in locations that will facilitate family reunification efforts. 38. Today, USCCB …"
refugee resettlement,5,4.583233,2,Directly discusses refugee processing and resettlement in Central America,"EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols",,"[""Unspecified/Other"", ""Unspecified/Other"", ""Unspecified/Other""]","[""Border"", ""Asylum, Withholding and CAT""]","We are also expanding refugee processing in Central America—including through in-country processing in Northern Triangle countries—and are helping international organizations and local non-governmental organizations identify and refer individuals with urgent protection needs to the U.S. Refugee Admissions Program and resettlement agencies in other countries. Additionally, on March 10, 2021, DHS, in close coordination with the Department of State, restarted the Central American Minors (CAM) program to reunite eligible children from El Salvador, Guatemala, and Honduras with parents who are lawfully present in the United States. On June 15, 2021, the Departments expanded CAM eligibility to include certain U.S.-based parents or legal guardians who have a pending asylum application or U visa petition filed before May 15, 2021, thereby allowing them to file petitions on behalf of children who are nationals of El Salvador, Guatemala, or Honduras for potential resettlement in the United State…"
public charge rule,1,6.659944,3,Exact match on the public charge rule,USCIS issues final rule on public charge inadmissibility grounds,,"[""U.S. Citizenship and Immigration Services""]","[""Unspecified/Other"", ""Unspecified/Other""]","Public Charge USCIS is no longer applying the August 2019 Public Charge Final Rule. As a consequence, among other changes, USCIS will apply the public charge inadmissibility statute consistent with the 1999 Interim Field Guidance. In other words, USCIS is not considering an applicant’s receipt of Medicaid (except for long-term institutionalization at the government’s expense), public housing, or Supplemental Nutrition Assistance Program (SNAP) benefits as part of the public charge inadmissibility determination. Background On Nov. 2, 2020, the U.S. District Court for the Northern District of Illinois vacated the Inadmissibility on Public Charge Grounds final rule (84 Fed. Reg. 41,292 (Aug. 14, 2019)), as amended by Inadmissibility on Public Charge Grounds; Correction, 84 Fed. Reg. 52,357 (Oct. 2, 2019) (Public Charge Final Rule) nationwide. That decision was stayed by the U.S. Court of Appeals for the Seventh Circuit. On March 9, 2021, the Seventh Circuit lifted its stay and the U.S. D…"
public charge rule,2,-4.312485,1,Citizenship limits on public benefits are related but not the public charge rule,Dept. of Education rule imposes citizenship requirements on adult education programs,,"[""Unspecified/Other""]","[""Unspecified/Other""]","The Department of Education issued a rule reinterpreting “Federal Public Benefit” as used in Title IV of the Personal Responsibility and Work Opportunity Reconciliation Act of 1996 (PRWORA). Programs that fall within that category are only available to citizens and “qualifying aliens.” The new rule states that postsecondary education programs, including adult education programs and career and technical education programs, will now be subject to these requirements. Trump 2.0 [ID #1873]"
public charge rule,3,-4.715845,0,Public health bars to asylum are unrelated to public charge,EOIR and USCIS issue communicable-disease security bars to asylum and withholding eligibility,,"[""Customs and Border Protection"", ""U.S. Citizenship and Immigration Services"", ""Unspecified/Other"", ""Executive Office for Immigration Review""]","[""Asylum, Withholding and CAT""]","EOIR and USCIS issue final rule adding public health-related bars to asylum eligibility. The final rule implements three changes: - Expands the ""danger to the security of the United States"" bar to asylum eligibility to include public-health crises (""emergency public health concerns generated by a communicable disease""); - Provides for ""streamlining screening for potential eligibility for deferral of removal in the expedited removal process"" for noncitizens determined ineligible for asylum based on the third country transit rule; and - Authorizes DHS to place noncitizens found ineligible for asylum or withholding under the third country transit rule or under the ""danger to the security of the United States"" bar into asylum-and-withholding only proceedings, or to remove such individuals to a third country. The rule was signed by Chad Mizelle, Senior Official Performing the Duties of the General Counsel, on behalf of Acting Secretary Wolf, and by EOIR Director James McHenry. [ID #983]"
public charge rule,4,-4.967182,0,Criminal conviction precedent is unrelated,"AG Barr issues Matter of Thomas and Thompson, ruling on the immigration effect of modified criminal convictions",,"[""Attorney General"", ""Executive Office for Immigration Review""]","[""Unspecified/Other""]","There, the Board established a rule that “a conviction will be found for immigration purposes” where: (1) a judge or jury has found the alien guilty or he has entered a plea of guilty or nolo contendere or has admitted sufficient facts to warrant a finding of guilty; (2) the judge has ordered some form of punishment, penalty, or restraint on the person’s liberty to be imposed (including but not limited to incarceration, probation, a fine or restitution, or community-based sanctions such as a rehabilitation program, a work-release or study- release program, revocation or suspension of a driver’s license, deprivation of nonessential activities or privileges, or community service); and (3) a judgment or adjudication of guilt may be entered if the person violates the terms of his probation or fails to comply with the requirements of the court’s order, without availability of further proceedings regarding the person’s guilt or innocence of the original charge. Id. at 551–52. Under Ozkok’s …"
public charge rule,5,-5.054303,0,General USCIS discretion policy is not the public charge rule,USCIS updates policy on applying discretion in adjudications,,[],[],"[^ 60] For definitions of public safety and national security concerns, see Updated Guidance for the Referral of Cases and Issuance of Notices to Appear (NTAs) in Cases Involving Inadmissible and Deportable Aliens (PDF), PM-602-0050.1, issued June 28, 2018. [^ 61] The oﬀicer should not go behind the record of conviction to reassess an alien’s ultimate guilt or innocence, but rather inquire into the circumstances surrounding the commission of the crime in order to determine whether a favorable exercise of discretion is warranted. See Matter of Edwards (PDF), 20 I&N Dec. 191, 197 (BIA 1990). [^ 62] USCIS considers findings of juvenile delinquency on a case-by-case basis, based on the totality of the evidence, to determine whether a favorable exercise of discretion is warranted. Therefore, an adjustment applicant must disclose all arrests and charges. If any arrest or charge was disposed of as a matter of juvenile delinquency, the applicant must include the court or other public record t…"
