query,rank,score,relevance,reason,title,administration,agencies_affected,subject_matter,snippet
temporary protected status,1,0.032787,3,Directly about TPS and centered on a TPS termination decision,DHS terminates Temporary Protected Status for Honduras,,"[""U.S. Citizenship and Immigration Services""]","[""TPS""]","§ 1254a(b)(3)(A) to mean the broader TPS designation is also consistent with the humanitarian purpose of the TPS Statute. Congress committed its mission of humanitarian relief by creating TPS. Since the mid-twentieth century, “every Administration since and including that of President Eisenhower has permitted one or more groups of otherwise deportable [foreign nationals] to remain temporarily in the United States out of concern that . . . forced repatriation . . . could endanger their lives or safety.” H.R. Rep. No. 100-627, at 6 (1988). Over the past three decades, this nation’s leaders have chosen to pick up the mantle and protect those in need of aid.2 2 The TPS program is described in the Humanitarian page of USCIS’s website: “The Secretary of Homeland Security may designate a foreign country for TPS due to conditions in the country that temporarily prevent the country's nationals from returning safely, or in certain circumstances, where the country is unable to handle the return …"
temporary protected status,2,0.032258,1,TPS is only listed as one example in broader HUD verification guidance,HUD orders immediate citizenship-verification for tenants in HUD-funded housing,,"[""Unspecified/Other""]","[""Interior""]","PHAs should consult the guidance and manuals SAVE provides on understanding SAVE verification responses. 3 HUD assistance is defined as rental assistance in the public housing or housing choice voucher programs. 8 SAVE Response Section 214 Eligibility Status Republic of the Marshall Islands, or Palau.  Cuban/Haitian Entrant;  No Status – Granted Withholding of Removal – Employment Authorized Indefinitely;  Violence Against Women Act (VAWA) – Self-Petitioner – Temporary Employment Authorized;  VAWA Self-Petitioner; and  VAWA Self-Petitioner – Not Employment Authorized.  Non-Immigrant  Non-Immigrant – Temporary Employment Authorized;  Non-Immigrant – Temporary Employment Authorized – Indefinite;  Non-Immigrant – Not Employment Authorized;  Non-Immigrant – Employment Authorized CNMI Only;  Student Status Temporary Authorized;  If Principal – Temporary Employment Authorized;  If Principal or Spouse – Temporary Employment Authorized;  Temporary Resident – Temporary Employment…"
temporary protected status,3,0.031498,1,Mentions TPS applications but the document is mainly about CHNV parole,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes",,"[""Customs and Border Protection"", ""U.S. Citizenship and Immigration Services"", ""Unspecified/Other""]","[""Unspecified/Other""]","They rescued over 22,000 people within the first six months of the war and since then have provided humanitarian assistance to over a half million Ukrainians. Maksym came to the United States through the U4U parole process in April 2023. He and his wife have applied for Temporary Protected Status (“TPS”), and he has also applied for re-parole in September 2024 because his current grant of U4U parole expires in April 2025. Processing these applications has been paused indefinitely due to the February 14 Davidson memo. If that pause remains in effect, Maksym’s parole will expire, he will lose his work authorization and his ability to continue his humanitarian work for Ukrainians, and he will be displaced once again. 16. Plaintiff Maria Doe is a Ukrainian national who currently lives with her husband Maksym in Brooklyn, New York. She and Maksym Doe came to the United States through the U4U parole process with all their possessions packed into two suitcases. Maria was able to apply for U4…"
temporary protected status,4,0.030798,1,TPS appears only as one status example in Liberian adjustment guidance,EOIR issues guidance on adjustment of status eligibility for certain Liberians under the NDAA,,"[""Unspecified/Other"", ""Executive Office for Immigration Review""]","[""Unspecified/Other""]","§ 761 l(i)(2). Thus, for aliens currently in proceedings who have other applications for status ( e.g. asylum, adjustment of status, cancellation of removal for certain nonpermanent residents, Temporary Protected Status) pending before an immigration judge, those cases should not be placed on a status docket, and immigration judges should proceed with adjudicating those applications unless the alien indicates that he or she no longer wishes to seek such status. For cases pending at the Board involving non-detained aliens currently in proceedings who: (1) have established prima facie eligibility for adjustment of status pursuant to NDAA § § 7611 (b )(1 )­ (3) and (c)(l)-(2); and (2) have submitted an application to DHS for such adjustment of status and provided proof of such submission, the Board will complete the record of appeal, including the receipt of briefs by the parties. The Board should proceed with the disposition of the appeal if the Board's decision will either: (1) termina…"
temporary protected status,5,0.029274,1,TPS is just one eligibility category in broader CAM policy,"EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols",,"[""Unspecified/Other"", ""Unspecified/Other"", ""Unspecified/Other""]","[""Border"", ""Asylum, Withholding and CAT""]","Department of Homeland Security and U.S. Department of State on the Expansion of Access to the Central American Minors Program,” June 15, 2021, https://www.dhs.gov/news/2021/06/15/joint-statement-us-department-homeland-security-and-us-department-state­ expansion. Under the expanded guidance, eligible minors may apply for refugee status if they are sponsored by a parent or legal guardian in the United States who is in one of the categories: lawful permanent residence; temporary protected status; parole; deferred action; deferred enforced departure; withholding of removal; or certain parents or legal guardians who have a pending asylum application or a pending U visa petition filed before May 15, 2021. 135 Exercise of Time-Limited Authority To Increase the Fiscal Year 2021 Numerical Limitation for the H–2B Temporary Nonagricultural Worker Program and Portability Flexibility for H–2B Workers Seeking To Change Employers, 86 Fed. Reg. 28,198 (May 25, 2021). 33 These efforts, all of which h…"
asylum policy,1,0.032266,2,Strongly related because MPP directly affects asylum seekers and asylum access,"EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols",,"[""Unspecified/Other"", ""Unspecified/Other"", ""Unspecified/Other""]","[""Border"", ""Asylum, Withholding and CAT""]","3d at 99 n.10 (citing a declaration by Kennji Kizuka, Senior Researcher and Policy Analyst at Human Rights First, regarding an earlier version of this list explaining that “‘[a]s of December 15, 2020, Human Rights First has identified 1,314 public reports of murder, torture, rape, kidnapping, and other violent assaults against asylum seekers returned to Mexico under MPP’ and that ‘the security situation in Mexico, including in the state of Tamaulipas has worsened’ with one of Mexico’s ‘most powerful and violent cartels’ reportedly increasing its activities in Tamaulipas and migrants in Matamoros and Nuevo Laredo have been repeatedly targeted’”). 51 UNHCR, Rapid Protection Assessment: MPP Returnees at the Northern Border of Mexico 15, Dec. 2019. The UNHCR assessment, shared confidentially with the United States government, is cited here with the express permission of UNHCR. 52 According to the UNHCR survey, it did not take long for MPP enrollees to experience danger in Mexico. Just ove…"
asylum policy,2,0.032002,3,Directly changes asylum screening procedure and preparation time,Asylum seekers given less time to prepare for credible fear interviews,,"[""U.S. Citizenship and Immigration Services""]","[""Asylum, Withholding and CAT""]","REPORTING TO YOU Immigrant Asylum-Seekers May Get Less Time To Prepare Their Cases Under A New Trump Administration Rule Critics say it's just the latest Trump administration attempt to make the process of applying for asylum harder for immigrants. By Hamed Aleaziz Posted on July 9, 2019, at 2:51 p.m. ET Families seeing asylum slip through through the US–Mexico border fence. Megan Jelinger / Sipa USA via AP The Trump administration is attempting to speed up initial screenings of immigrants seeking asylum, a move that advocates say will give immigrants less time to prepare for their interviews or recover from dangerous journeys. Immigrant Asylum-Seekers May Get Less Time To Prepare Asylum ofﬁcers have had to wait at least 48 hours after an immigrant has been detained for crossing into the US to interview them and hear their case. However, under a new directive implemented by US Citizenship and Immigration Services Acting Director Ken Cuccinelli, that window has been reduced to one cale…"
asylum policy,3,0.03101,1,Refugee policy overlaps conceptually but is not asylum policy itself,State Department orders resettlement agencies to stop funded work supporting refugees currently in the U.S.,,"[""Unspecified/Other""]","[""Refugees"", ""Unspecified/Other""]","Congress clearly and expressly stated its purpose and policy judgments in passing the Refugee Act: (a) The Congress declares that it is the historic policy of the United States to respond to the urgent needs of persons subject to persecution in their homelands, including, where appropriate, humanitarian assistance for their care and maintenance in asylum areas, efforts to promote opportunities for resettlement or voluntary repatriation, aid for necessary transportation and processing, admission to this country of refugees of special humanitarian concern to the United States, and transitional assistance to refugees in the United States . . . . (b) The objectives of this Act are to provide a permanent and systematic procedure for the admission to this country of refugees of special humanitarian concern to the United States, and to provide comprehensive and uniform provisions for the effective resettlement and absorption of those refugees who are admitted. Pub. L. No. 96-212, § 101(b), 9…"
asylum policy,4,0.030478,2,Rescinds EOIR memoranda including asylum processing guidance but is partly about continuances,EOIR Director issues guidance to restrict continuances,,"[""Executive Office for Immigration Review""]","[""Unspecified/Other""]","OOD DM 22-05 Issued: Apr. 18, 2022 Effective: Immediately CANCELLATION OF POLICY MEMORANDA 19-05, 21-06, AND 21-13 PURPOSE: Rescind and cancel Policy Memoranda 19-05, 21-06, and 2113 OWNER: David L. Neal, Director AUTHORITY: 8 C.F.R. § 1003.0(b) CANCELLATION: Policy Memorandum 19-05 Policy Memorandum 21-06 Policy Memorandum 21-13 As EOIR continues to review existing agency policies and practices, the following Policy Memoranda (PM) are rescinded: 1. PM 19-05, Guidance Regarding the Adjudication of Asylum Applications Consistent with INA § 208(d)(5)(A)(iii) 2. PM 21-06, Asylum Processing 3. PM 21-13, Continuances Please contact your supervisor if you have any questions."
asylum policy,5,0.030303,1,Only mentions asylum in passing within a broader parole litigation discussion,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes",,"[""Customs and Border Protection"", ""U.S. Citizenship and Immigration Services"", ""Unspecified/Other""]","[""Unspecified/Other""]","Garland, 596 U.S. 328 (2022), that “the statutory bar applie[s] to every decision in the chain leading to [a] particular decision.” Opp. to Second Mot. for PI 8 [Doc. No. 89]; First Order on Motion to Stay 23 [Doc. No. 97]. Review of the indefinite suspension of initial parole and re-parole applications is not precluded by Section 1252(a)(2)(B)(ii) for reasons explained in the First Order on Motion to Stay [Doc. No. 97], including that challenges to policies and processes governing grants and revocations of parole are generally reviewable. marginally related” to the purposes of the immigration statutes as to foreclose them from bringing suit. 27 Section 1158(a) pertains to the granting of asylum. See 8 U.S.C. § 1158(a). Case 1:25-cv-10495-IT Document 107 Filed 05/28/25 Page 26 of 49 27 As to the Davidson Memorandum’s suspension of other adjudications, Defendants state that “asylum and most applications for adjustment of status are discretionary.” Opp. to Mot. for PI 10 [Doc. No. 42]. …"
