query,rank,score,relevance,reason,title,administration,agencies_affected,subject_matter,source_path,snippet
temporary protected status,1,12.590833,3,Directly about DHS terminating Temporary Protected Status (TPS).,DHS terminates Temporary Protected Status for Honduras,,"[""U.S. Citizenship and Immigration Services""]","[""TPS""]",data/sample_100/policies/1849__dhs-terminates-temporary-protected-status-for-honduras/documents/subsequent-action__8128__nan__f2716d6472.pdf,"§ 1254a(b)(3)(A) to mean the broader TPS designation is also consistent with the humanitarian purpose of the TPS Statute. Congress committed its mission of humanitarian relief by creating TPS. Since the mid-twentieth century, “every Administration since and including that of President Eisenhower has permitted one or more groups of otherwise deportable [foreign nationals] to remain temporarily in the United States out of concern that . . . forced repatriation . . . could endanger their lives or safety.” H.R. Rep. No. 100-627, at 6 (1988). Over the past three decades, this nation’s leaders have chosen to pick up the mantle and protect those in need of aid.2 2 The TPS program is described in the Humanitarian page of USCIS’s website: “The Secretary of Homeland Security may designate a foreign country for TPS due to conditions in the country that temporarily prevent the country's nationals from returning safely, or in certain circumstances, where the country is unable to handle the return …"
temporary protected status,2,11.861023,0,"HUD tenant citizenship-verification policy, not TPS.",HUD orders immediate citizenship-verification for tenants in HUD-funded housing,,"[""Unspecified/Other""]","[""Interior""]",data/sample_100/policies/2181__hud-orders-immediate-citizenship-verification-for-all-tenants-in-hud-funded-hous/documents/new-policy__8337__nan__7f861f58e7.pdf,"PHAs should consult the guidance and manuals SAVE provides on understanding SAVE verification responses. 3 HUD assistance is defined as rental assistance in the public housing or housing choice voucher programs. 8 SAVE Response Section 214 Eligibility Status Republic of the Marshall Islands, or Palau.  Cuban/Haitian Entrant;  No Status – Granted Withholding of Removal – Employment Authorized Indefinitely;  Violence Against Women Act (VAWA) – Self-Petitioner – Temporary Employment Authorized;  VAWA Self-Petitioner; and  VAWA Self-Petitioner – Not Employment Authorized.  Non-Immigrant  Non-Immigrant – Temporary Employment Authorized;  Non-Immigrant – Temporary Employment Authorized – Indefinite;  Non-Immigrant – Not Employment Authorized;  Non-Immigrant – Employment Authorized CNMI Only;  Student Status Temporary Authorized;  If Principal – Temporary Employment Authorized;  If Principal or Spouse – Temporary Employment Authorized;  Temporary Resident – Temporary Employment…"
temporary protected status,3,10.659477,0,"EOIR adjustment-of-status guidance, not TPS.",EOIR issues guidance on adjustment of status eligibility for certain Liberians under the NDAA,,"[""Unspecified/Other"", ""Executive Office for Immigration Review""]","[""Unspecified/Other""]",data/sample_100/policies/232__eoir-issues-guidance-on-adjustment-of-status-eligibility-for-certain-liberian-na/documents/new-policy__593__section-7611-of-the-national-defense-authorization-act-of-2020-public-law-116-92__61c70d506e.pdf,"§ 761 l(i)(2). Thus, for aliens currently in proceedings who have other applications for status ( e.g. asylum, adjustment of status, cancellation of removal for certain nonpermanent residents, Temporary Protected Status) pending before an immigration judge, those cases should not be placed on a status docket, and immigration judges should proceed with adjudicating those applications unless the alien indicates that he or she no longer wishes to seek such status. For cases pending at the Board involving non-detained aliens currently in proceedings who: (1) have established prima facie eligibility for adjustment of status pursuant to NDAA § § 7611 (b )(1 )­ (3) and (c)(l)-(2); and (2) have submitted an application to DHS for such adjustment of status and provided proof of such submission, the Board will complete the record of appeal, including the receipt of briefs by the parties. The Board should proceed with the disposition of the appeal if the Board's decision will either: (1) termina…"
temporary protected status,4,10.612064,0,"Categorical parole termination policy, not TPS.","EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes",,"[""Customs and Border Protection"", ""U.S. Citizenship and Immigration Services"", ""Unspecified/Other""]","[""Unspecified/Other""]",data/sample_100/policies/1455__eo-securing-our-borders-7b-directs-termination-of-categorical-parole-programs-in/documents/subsequent-action__5420__nan__db4fde94c8.pdf,"They rescued over 22,000 people within the first six months of the war and since then have provided humanitarian assistance to over a half million Ukrainians. Maksym came to the United States through the U4U parole process in April 2023. He and his wife have applied for Temporary Protected Status (“TPS”), and he has also applied for re-parole in September 2024 because his current grant of U4U parole expires in April 2025. Processing these applications has been paused indefinitely due to the February 14 Davidson memo. If that pause remains in effect, Maksym’s parole will expire, he will lose his work authorization and his ability to continue his humanitarian work for Ukrainians, and he will be displaced once again. 16. Plaintiff Maria Doe is a Ukrainian national who currently lives with her husband Maksym in Brooklyn, New York. She and Maksym Doe came to the United States through the U4U parole process with all their possessions packed into two suitcases. Maria was able to apply for U4…"
temporary protected status,5,9.29724,0,"Migrant Protection Protocols (MPP) policy, not TPS.","EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols",,"[""Unspecified/Other"", ""Unspecified/Other"", ""Unspecified/Other""]","[""Border"", ""Asylum, Withholding and CAT""]",data/sample_100/policies/1417__eo-securing-our-borders-6-directs-dhs-dos-and-doj-to-resume-migrant-protection-p/documents/prior-policy__4894__nan__4ba9c1d5c8.pdf,"Department of Homeland Security and U.S. Department of State on the Expansion of Access to the Central American Minors Program,” June 15, 2021, https://www.dhs.gov/news/2021/06/15/joint-statement-us-department-homeland-security-and-us-department-state­ expansion. Under the expanded guidance, eligible minors may apply for refugee status if they are sponsored by a parent or legal guardian in the United States who is in one of the categories: lawful permanent residence; temporary protected status; parole; deferred action; deferred enforced departure; withholding of removal; or certain parents or legal guardians who have a pending asylum application or a pending U visa petition filed before May 15, 2021. 135 Exercise of Time-Limited Authority To Increase the Fiscal Year 2021 Numerical Limitation for the H–2B Temporary Nonagricultural Worker Program and Portability Flexibility for H–2B Workers Seeking To Change Employers, 86 Fed. Reg. 28,198 (May 25, 2021). 33 These efforts, all of which h…"
asylum policy,1,7.244296,2,EOIR continuance guidance affects asylum proceedings but is not broad asylum policy.,EOIR Director issues guidance to restrict continuances,,"[""Executive Office for Immigration Review""]","[""Unspecified/Other""]",data/sample_100/policies/1278__eoir-director-gives-additional-guidance-continuances/documents/biden-administration-policy__4015__nan__4bd1bb1afd.pdf,"OOD DM 22-05 Issued: Apr. 18, 2022 Effective: Immediately CANCELLATION OF POLICY MEMORANDA 19-05, 21-06, AND 21-13 PURPOSE: Rescind and cancel Policy Memoranda 19-05, 21-06, and 2113 OWNER: David L. Neal, Director AUTHORITY: 8 C.F.R. § 1003.0(b) CANCELLATION: Policy Memorandum 19-05 Policy Memorandum 21-06 Policy Memorandum 21-13 As EOIR continues to review existing agency policies and practices, the following Policy Memoranda (PM) are rescinded: 1. PM 19-05, Guidance Regarding the Adjudication of Asylum Applications Consistent with INA § 208(d)(5)(A)(iii) 2. PM 21-06, Asylum Processing 3. PM 21-13, Continuances Please contact your supervisor if you have any questions."
asylum policy,2,7.038221,3,Directly about asylum/credible-fear procedure changes for asylum seekers.,Asylum seekers given less time to prepare for credible fear interviews,,"[""U.S. Citizenship and Immigration Services""]","[""Asylum, Withholding and CAT""]",data/sample_100/policies/93__asylum-seekers-given-less-time-to-prepare-for-credible-fear-interviews/documents/new-policy__248__immigrant-asylum-seekers-may-get-less-time-to-prepare-their-cases-under-a-new-tr__a1d1d12087.pdf,"REPORTING TO YOU Immigrant Asylum-Seekers May Get Less Time To Prepare Their Cases Under A New Trump Administration Rule Critics say it's just the latest Trump administration attempt to make the process of applying for asylum harder for immigrants. By Hamed Aleaziz Posted on July 9, 2019, at 2:51 p.m. ET Families seeing asylum slip through through the US–Mexico border fence. Megan Jelinger / Sipa USA via AP The Trump administration is attempting to speed up initial screenings of immigrants seeking asylum, a move that advocates say will give immigrants less time to prepare for their interviews or recover from dangerous journeys. Immigrant Asylum-Seekers May Get Less Time To Prepare Asylum ofﬁcers have had to wait at least 48 hours after an immigrant has been detained for crossing into the US to interview them and hear their case. However, under a new directive implemented by US Citizenship and Immigration Services Acting Director Ken Cuccinelli, that window has been reduced to one cale…"
asylum policy,3,6.719162,2,MPP policy is closely tied to asylum processing at the border.,"EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols",,"[""Unspecified/Other"", ""Unspecified/Other"", ""Unspecified/Other""]","[""Border"", ""Asylum, Withholding and CAT""]",data/sample_100/policies/1417__eo-securing-our-borders-6-directs-dhs-dos-and-doj-to-resume-migrant-protection-p/documents/prior-policy__4894__nan__4ba9c1d5c8.pdf,"3d at 99 n.10 (citing a declaration by Kennji Kizuka, Senior Researcher and Policy Analyst at Human Rights First, regarding an earlier version of this list explaining that “‘[a]s of December 15, 2020, Human Rights First has identified 1,314 public reports of murder, torture, rape, kidnapping, and other violent assaults against asylum seekers returned to Mexico under MPP’ and that ‘the security situation in Mexico, including in the state of Tamaulipas has worsened’ with one of Mexico’s ‘most powerful and violent cartels’ reportedly increasing its activities in Tamaulipas and migrants in Matamoros and Nuevo Laredo have been repeatedly targeted’”). 51 UNHCR, Rapid Protection Assessment: MPP Returnees at the Northern Border of Mexico 15, Dec. 2019. The UNHCR assessment, shared confidentially with the United States government, is cited here with the express permission of UNHCR. 52 According to the UNHCR survey, it did not take long for MPP enrollees to experience danger in Mexico. Just ove…"
asylum policy,4,5.750708,1,General USCIS discretion guidance; only indirectly related to asylum policy.,USCIS updates policy on applying discretion in adjudications,,,,data/sample_100/policies/1142__uscis-updates-policy-applying-discretion-adjudications/documents/new-policy__2787__nan__14bf2af880.pdf,"Home > Policy Manual Chapter 5 - Discretion Guidance Resources (8) Appendices (0) Updates (3) ! Alert On September 11, 2020, the U.S. District Court for the District of Maryland in Casa de Maryland et al v. Chad Wolf provided limited injunctive relief to members of two organizations, CASA de Maryland (CASA) and the Asylum Seeker Advocacy Project (ASAP), in the application of the Asylum Application, Interview, and Employment Authorization for Applicants Rule to Form I-589s and Form I-765s filed by asylum applicants who are also members of CASA or ASAP. Therefore, while the rule is preliminarily enjoined, we will continue to apply the prior regulatory language and exempt from discretion CASA and ASAP members who file a Form I-765 based on an asylum application. A. Discretionary Authority and Applicability While employment authorization for certain aliens is automatic or non-discretionary by virtue of their immigration status, other aliens must aﬀirmatively apply for employment authoriza…"
asylum policy,5,5.745757,0,"Refugee resettlement agency action, not asylum policy.",State Department orders resettlement agencies to stop funded work supporting refugees currently in the U.S.,,"[""Unspecified/Other""]","[""Refugees"", ""Unspecified/Other""]",data/sample_100/policies/1450__report-tump-memo-bars-resettlement-agencies-from-providing-services-to-refugees-/documents/subsequent-action__5425__nan__2d6971740c.pdf,"Congress clearly and expressly stated its purpose and policy judgments in passing the Refugee Act: (a) The Congress declares that it is the historic policy of the United States to respond to the urgent needs of persons subject to persecution in their homelands, including, where appropriate, humanitarian assistance for their care and maintenance in asylum areas, efforts to promote opportunities for resettlement or voluntary repatriation, aid for necessary transportation and processing, admission to this country of refugees of special humanitarian concern to the United States, and transitional assistance to refugees in the United States . . . . (b) The objectives of this Act are to provide a permanent and systematic procedure for the admission to this country of refugees of special humanitarian concern to the United States, and to provide comprehensive and uniform provisions for the effective resettlement and absorption of those refugees who are admitted. Pub. L. No. 96-212, § 101(b), 9…"
