relevance,reason,query,rrf_rank,title,full_chunk_text,rrf_score,bm25_score,bm25_rank,faiss_score,faiss_rank
3,Directly about TPS and centered on a TPS termination decision,temporary protected status,1,DHS terminates Temporary Protected Status for Honduras,"§ 1254a(b)(3)(A) to mean the broader TPS designation is also consistent with the humanitarian purpose of the TPS Statute. Congress committed its mission of humanitarian relief by creating TPS. Since the mid-twentieth century, “every Administration since and including that of President Eisenhower has permitted one or more groups of otherwise deportable [foreign nationals] to remain temporarily in the United States out of concern that . . . forced repatriation . . . could endanger their lives or safety.” H.R. Rep. No. 100-627, at 6 (1988). Over the past three decades, this nation’s leaders have chosen to pick up the mantle and protect those in need of aid.2 2 The TPS program is described in the Humanitarian page of USCIS’s website: “The Secretary of Homeland Security may designate a foreign country for TPS due to conditions in the country that temporarily prevent the country's nationals from returning safely, or in certain circumstances, where the country is unable to handle the return of its nationals adequately.” U.S. Citizenship and Immigration Services, Temporary Protected Status, https://www.uscis.gov/humanitarian/temporary-protected-status. Scholars and courts across the country have noted the humanitarian purpose of the TPS program. See Andrew I. Schoenholtz, The Promise and Challenge of Humanitarian Protection in the United States: Making Temporary Protected Status Work as a Safe Haven, 15 Nw. J. L. & Soc. Pol’y. 1, 5 (2019) (noting the “the purpose of TPS to provide temporary safety to those whose countries are in crisis”); Sanchez v.",0.032787,12.764559,1,0.801646,1
1,TPS is only listed as one example in broader HUD verification guidance,temporary protected status,2,HUD orders immediate citizenship-verification for tenants in HUD-funded housing,"PHAs should consult the guidance and manuals SAVE provides on understanding SAVE verification responses. 3 HUD assistance is defined as rental assistance in the public housing or housing choice voucher programs. 8 SAVE Response Section 214 Eligibility Status Republic of the Marshall Islands, or Palau.  Cuban/Haitian Entrant;  No Status – Granted Withholding of Removal – Employment Authorized Indefinitely;  Violence Against Women Act (VAWA) – Self-Petitioner – Temporary Employment Authorized;  VAWA Self-Petitioner; and  VAWA Self-Petitioner – Not Employment Authorized.  Non-Immigrant  Non-Immigrant – Temporary Employment Authorized;  Non-Immigrant – Temporary Employment Authorized – Indefinite;  Non-Immigrant – Not Employment Authorized;  Non-Immigrant – Employment Authorized CNMI Only;  Student Status Temporary Authorized;  If Principal – Temporary Employment Authorized;  If Principal or Spouse – Temporary Employment Authorized;  Temporary Resident – Temporary Employment Authorized;  Deferred Action for Childhood Arrivals (DACA) – Employment Authorized;  Temporary Protected Status (TPS) – Employment Authorized;  Application Pending (Form I-589 Asylum);  Application Pending (Form I-485 Adjustment of Status) – Temporary Employment Authorized;  Application Pending; Ineligible for HUD Assistance 9 SAVE Response Section 214 Eligibility Status  Application Pending – Temporary Employment Authorization;  Application Pending – Not Temporary Employment Authorization;  Deferred Action Status (DAS);  Deferred Action Status (DAS) – Not Employment Authorized;  Deferred Enforced Departure (DED); and  No Status;  No Status – Released on an Order of Supervision – Temporary Employment Authorized;  No Status – Employment Authorized Indefinitely; and  No Status Temporary Employment Authorized.",0.032258,11.922282,2,0.765362,2
1,Mentions TPS applications but the document is mainly about CHNV parole,temporary protected status,3,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes","They rescued over 22,000 people within the first six months of the war and since then have provided humanitarian assistance to over a half million Ukrainians. Maksym came to the United States through the U4U parole process in April 2023. He and his wife have applied for Temporary Protected Status (“TPS”), and he has also applied for re-parole in September 2024 because his current grant of U4U parole expires in April 2025. Processing these applications has been paused indefinitely due to the February 14 Davidson memo. If that pause remains in effect, Maksym’s parole will expire, he will lose his work authorization and his ability to continue his humanitarian work for Ukrainians, and he will be displaced once again. 16. Plaintiff Maria Doe is a Ukrainian national who currently lives with her husband Maksym in Brooklyn, New York. She and Maksym Doe came to the United States through the U4U parole process with all their possessions packed into two suitcases. Maria was able to apply for U4U re-parole and was granted another two years of parole in January 2025, but she has also applied for Temporary Protected Status and is working with her employer to file an H-1B employment-based visa application soon. Not only will these applications not be processed due to the administration’s indefinite hold on processing applications for immigration benefits for parole beneficiaries, but if her parole expires or the administration prematurely terminates it, she will once again be displaced. Case 1:25-cv-10495 Document 1 Filed 02/28/25 Page 5 of 65",0.031498,10.619062,4,0.751035,3
1,TPS appears only as one status example in Liberian adjustment guidance,temporary protected status,4,EOIR issues guidance on adjustment of status eligibility for certain Liberians under the NDAA,"§ 761 l(i)(2). Thus, for aliens currently in proceedings who have other applications for status ( e.g. asylum, adjustment of status, cancellation of removal for certain nonpermanent residents, Temporary Protected Status) pending before an immigration judge, those cases should not be placed on a status docket, and immigration judges should proceed with adjudicating those applications unless the alien indicates that he or she no longer wishes to seek such status. For cases pending at the Board involving non-detained aliens currently in proceedings who: (1) have established prima facie eligibility for adjustment of status pursuant to NDAA § § 7611 (b )(1 )­ (3) and (c)(l)-(2); and (2) have submitted an application to DHS for such adjustment of status and provided proof of such submission, the Board will complete the record of appeal, including the receipt of briefs by the parties. The Board should proceed with the disposition of the appeal if the Board's decision will either: (1) terminate, or affirm the termination of, proceedings against the alien; or (2) grant, or affirm the grant of, relief! (except voluntary departure) or Temporary Matter ofYauri, 25 I&N Dec. 103, 107 & 110 (BIA 2009) (""We have long been of the view that administratively final exclusion, deportation, or removal proceedings should not be reopened for matters over which neither the Immigration Judge nor the Board has jurisdiction, and that referencing the absence of such jurisdiction was a rational basis in itself to decline to reopen proceedings ...",0.030798,10.684282,3,0.734458,7
1,TPS is just one eligibility category in broader CAM policy,temporary protected status,5,"EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols","Department of Homeland Security and U.S. Department of State on the Expansion of Access to the Central American Minors Program,” June 15, 2021, https://www.dhs.gov/news/2021/06/15/joint-statement-us-department-homeland-security-and-us-department-state­ expansion. Under the expanded guidance, eligible minors may apply for refugee status if they are sponsored by a parent or legal guardian in the United States who is in one of the categories: lawful permanent residence; temporary protected status; parole; deferred action; deferred enforced departure; withholding of removal; or certain parents or legal guardians who have a pending asylum application or a pending U visa petition filed before May 15, 2021. 135 Exercise of Time-Limited Authority To Increase the Fiscal Year 2021 Numerical Limitation for the H–2B Temporary Nonagricultural Worker Program and Portability Flexibility for H–2B Workers Seeking To Change Employers, 86 Fed. Reg. 28,198 (May 25, 2021). 33 These efforts, all of which have only recently been initiated, require diplomatic engagement and investment of resources. They will take some time to achieve substantial results. Once fully operational, they will provide legal and regular pathways for individuals seeking protection and opportunity to work in the United States, thus reducing the need for unlawful crossings and reducing the appeal of exploitative smugglers. By incentivizing migration through lawful channels, and disincentivizing the use of unlawful channels, these initiatives achieve several key goals of MPP, but in a more humane way that matches the Administration’s values.",0.029274,9.285365,5,0.713686,12
2,Strongly related because MPP directly affects asylum seekers and asylum access,asylum policy,1,"EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols","3d at 99 n.10 (citing a declaration by Kennji Kizuka, Senior Researcher and Policy Analyst at Human Rights First, regarding an earlier version of this list explaining that “‘[a]s of December 15, 2020, Human Rights First has identified 1,314 public reports of murder, torture, rape, kidnapping, and other violent assaults against asylum seekers returned to Mexico under MPP’ and that ‘the security situation in Mexico, including in the state of Tamaulipas has worsened’ with one of Mexico’s ‘most powerful and violent cartels’ reportedly increasing its activities in Tamaulipas and migrants in Matamoros and Nuevo Laredo have been repeatedly targeted’”). 51 UNHCR, Rapid Protection Assessment: MPP Returnees at the Northern Border of Mexico 15, Dec. 2019. The UNHCR assessment, shared confidentially with the United States government, is cited here with the express permission of UNHCR. 52 According to the UNHCR survey, it did not take long for MPP enrollees to experience danger in Mexico. Just over half of the individuals surveyed (51%) had been in Mexico for less than one month and more than nine-in-ten had been in Mexico for less than three months. Id. at 7, 17. 53 Médecins Sans Frontières, The devastating toll of ‘Remain in Mexico’ asylum policy one year later, Jan. 29, 2020, https://www.msf.org/one-year-inhumane-remain-mexico-asylum-seeker-policy; cf. Emily Green, Trump’s Asylum Policies Sent Him Back to Mexico. He was Kidnapped 5 Hours Later By a Cartel., Vice, Sept. 16, 2019. 54 U.S.",0.032266,6.724069,3,0.756550,1
3,Directly changes asylum screening procedure and preparation time,asylum policy,2,Asylum seekers given less time to prepare for credible fear interviews,"REPORTING TO YOU Immigrant Asylum-Seekers May Get Less Time To Prepare Their Cases Under A New Trump Administration Rule Critics say it's just the latest Trump administration attempt to make the process of applying for asylum harder for immigrants. By Hamed Aleaziz Posted on July 9, 2019, at 2:51 p.m. ET Families seeing asylum slip through through the US–Mexico border fence. Megan Jelinger / Sipa USA via AP The Trump administration is attempting to speed up initial screenings of immigrants seeking asylum, a move that advocates say will give immigrants less time to prepare for their interviews or recover from dangerous journeys. Immigrant Asylum-Seekers May Get Less Time To Prepare Asylum ofﬁcers have had to wait at least 48 hours after an immigrant has been detained for crossing into the US to interview them and hear their case. However, under a new directive implemented by US Citizenship and Immigration Services Acting Director Ken Cuccinelli, that window has been reduced to one calendar day, according to a policy change released to staffers on Monday and obtained by BuzzFeed News. The policy is also the latest in a string of maneuvers pushed by the Trump administration — and Cuccinelli — that advocates believe is aimed at restricting asylum. “This is another way to limit the process — that will lead to fewer positive credible fear interviews, more deportations,” said Ur Jaddou, a former chief counsel at USCIS. “This goes right along with his mistaken view that he is there to limit the number of people that obtain a beneﬁt and remove people beyond his authority.” Agency ofﬁcials, however, said the new policy was an attempt to reduce a signiﬁcant portion of the processing timeline and make the system move more efﬁciently as the administration deals with record numbers of families crossing the border.",0.032002,7.050062,2,0.752960,3
1,Refugee policy overlaps conceptually but is not asylum policy itself,asylum policy,3,State Department orders resettlement agencies to stop funded work supporting refugees currently in the U.S.,"Congress clearly and expressly stated its purpose and policy judgments in passing the Refugee Act: (a) The Congress declares that it is the historic policy of the United States to respond to the urgent needs of persons subject to persecution in their homelands, including, where appropriate, humanitarian assistance for their care and maintenance in asylum areas, efforts to promote opportunities for resettlement or voluntary repatriation, aid for necessary transportation and processing, admission to this country of refugees of special humanitarian concern to the United States, and transitional assistance to refugees in the United States . . . . (b) The objectives of this Act are to provide a permanent and systematic procedure for the admission to this country of refugees of special humanitarian concern to the United States, and to provide comprehensive and uniform provisions for the effective resettlement and absorption of those refugees who are admitted. Pub. L. No. 96-212, § 101(b), 94 Stat. 102, § 101 (defining “Purpose” of 8 U.S.C. § 1521 (USRAP)). By replacing these “carefully considered policy judgments” with his own “America-First” policy to exclude refugees from the nation, the President unlawfully nullifies and overrides USRAP with a “different and inconsistent” approach to the same issue of refugee admissions. See Hawaii III, at 689; Youngstown, 343 U.S. at 639. Additionally, with respect to Section 3(b) of the USRAP EO, that section plainly exceeds Section 1182(f)’s statutory language.",0.031010,5.745259,4,0.742962,5
2,Rescinds EOIR memoranda including asylum processing guidance but is partly about continuances,asylum policy,4,EOIR Director issues guidance to restrict continuances,"OOD DM 22-05 Issued: Apr. 18, 2022 Effective: Immediately CANCELLATION OF POLICY MEMORANDA 19-05, 21-06, AND 21-13 PURPOSE: Rescind and cancel Policy Memoranda 19-05, 21-06, and 2113 OWNER: David L. Neal, Director AUTHORITY: 8 C.F.R. § 1003.0(b) CANCELLATION: Policy Memorandum 19-05 Policy Memorandum 21-06 Policy Memorandum 21-13 As EOIR continues to review existing agency policies and practices, the following Policy Memoranda (PM) are rescinded: 1. PM 19-05, Guidance Regarding the Adjudication of Asylum Applications Consistent with INA § 208(d)(5)(A)(iii) 2. PM 21-06, Asylum Processing 3. PM 21-13, Continuances Please contact your supervisor if you have any questions.",0.030478,7.274623,1,0.728153,11
1,Only mentions asylum in passing within a broader parole litigation discussion,asylum policy,5,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes","Garland, 596 U.S. 328 (2022), that “the statutory bar applie[s] to every decision in the chain leading to [a] particular decision.” Opp. to Second Mot. for PI 8 [Doc. No. 89]; First Order on Motion to Stay 23 [Doc. No. 97]. Review of the indefinite suspension of initial parole and re-parole applications is not precluded by Section 1252(a)(2)(B)(ii) for reasons explained in the First Order on Motion to Stay [Doc. No. 97], including that challenges to policies and processes governing grants and revocations of parole are generally reviewable. marginally related” to the purposes of the immigration statutes as to foreclose them from bringing suit. 27 Section 1158(a) pertains to the granting of asylum. See 8 U.S.C. § 1158(a). Case 1:25-cv-10495-IT Document 107 Filed 05/28/25 Page 26 of 49 27 As to the Davidson Memorandum’s suspension of other adjudications, Defendants state that “asylum and most applications for adjustment of status are discretionary.” Opp. to Mot. for PI 10 [Doc. No. 42]. Asylum adjudications are expressly exempted from Section 1252(a)(2)(B)(ii), so that Section does not bar review of the Davidson Memorandum’s suspension of asylum adjudications. See 8 U.S.C. § 1252(a)(2)(B)(ii) (“other than the granting of relief under section 1158(a) of this title”). Other courts have found that Section 1252(a)(2)(B)(ii) bars review of DHS’s policy requiring an immigrant visa number to be available before approving or denying pending adjustment of status (“AOS”) applications. See Thigulla v.",0.030303,5.723047,6,0.742872,6
